YYYYMMDD,YYYY.DECM,N(m),E(m),U(m),sig_n(mm),sig_e(mm),sig_u(mm)
2011-07-12,2011.5274,3.4,-387.5,-0.7,2.0,1.9,6.4
2011-07-13,2011.5301,2.0,-386.9,-6.0,2.3,2.2,7.6
2011-07-14,2011.5329,3.3,-386.4,0.1,2.8,2.4,9.0
2011-07-15,2011.5356,4.2,-388.6,-0.6,2.2,2.1,7.2
2011-07-16,2011.5384,4.9,-387.8,4.4,2.1,2.0,6.9
2011-07-17,2011.5411,4.2,-386.9,3.9,2.0,1.9,6.7
2011-07-18,2011.5438,4.5,-386.6,2.8,2.1,2.0,7.0
2011-07-19,2011.5466,4.6,-387.6,0.1,2.2,2.0,6.9
2011-07-20,2011.5493,5.1,-387.7,-6.5,2.2,2.2,7.3
2011-07-21,2011.5521,2.2,-385.7,3.0,3.3,3.7,12.4
2011-07-22,2011.5548,6.0,-386.6,-4.7,2.6,2.6,8.7
2011-07-23,2011.5575,3.3,-384.5,5.3,2.8,2.7,9.3
2011-07-24,2011.5603,4.1,-384.9,1.5,2.3,2.3,7.7
2011-07-25,2011.563,2.9,-385.4,5.5,2.6,2.6,8.4
2011-07-26,2011.5658,4.6,-386.2,-0.2,2.3,2.4,7.6
2011-07-27,2011.5685,6.9,-386.9,-5.9,2.4,2.4,8.0
2011-07-28,2011.5712,5.0,-385.1,-7.1,2.1,2.1,6.8
2011-07-29,2011.574,4.2,-386.0,-5.0,2.2,2.2,7.0
2011-07-30,2011.5767,6.1,-385.9,0.5,2.8,2.4,8.9
2011-07-31,2011.5795,4.1,-385.0,3.3,2.2,2.2,7.4
2011-08-01,2011.5822,5.5,-386.2,-7.7,2.3,2.4,7.5
2011-08-02,2011.5849,6.0,-387.4,-4.4,2.3,2.5,7.6
2011-08-03,2011.5877,5.5,-382.9,-1.7,2.5,2.6,8.2
2011-08-04,2011.5904,6.5,-385.9,-3.1,2.6,2.6,8.6
2011-08-05,2011.5932,5.5,-386.4,-4.1,2.6,2.8,8.5
2011-08-06,2011.5959,7.7,-385.8,-0.7,2.2,2.3,7.3
2011-08-07,2011.5986,5.7,-384.4,-8.5,2.8,3.0,9.6
2011-08-08,2011.6014,6.1,-385.1,-7.2,2.5,2.6,8.3
2011-08-09,2011.6041,5.1,-385.2,3.6,2.3,2.4,7.5
2011-08-10,2011.6068,4.8,-386.3,1.2,2.5,2.6,8.0
2011-08-11,2011.6096,6.2,-385.4,-1.4,2.5,2.6,8.4
